name,reason,smiles
cyanocobalamin,unsupported_docking_elements:Co,"C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)O[P@@](O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12 |a:1,8,10,15,30,36,42,48,54,63,74,75,79,80,&1:70,c:16,20,24,t:22,26,29|"
cyanocobalamin,unsupported_docking_elements:Co,"C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)O[P@@](O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12 |a:1,8,10,15,30,36,42,48,54,63,74,75,79,80,&1:70,c:16,20,24,t:22,26,29|"
cyanocobalamin,unsupported_docking_elements:Co,"C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)O[P@@](O)(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)n1cnc2cc(C)c(C)cc12 |a:1,8,10,15,30,36,42,48,54,63,74,75,79,80,&1:70,c:16,20,24,t:22,26,29|"
cysteamine,qc_incompatible,
cysteamine,qc_incompatible,
D-7193,qc_incompatible,
"D,L-mevalonic-acid-lactone",qc_incompatible,
deferasirox-iron-chelate,unsupported_docking_elements:Fe,OC(=O)c1ccc(cc1)-n1nc-2nc1-c1ccccc1O[Fe]Oc1ccccc-21
deptropine,invalid_smiles,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC1c2ccccc2CCc2ccccc12 |r,THB:0:1:3.4:6.7.8|"
dexfosfoserine,qc_incompatible,
dexfosfoserine,qc_incompatible,
dianhydrogalactitol,qc_incompatible,
dianhydrogalactitol,qc_incompatible,
dianhydrogalactitol,qc_incompatible,
dichloroacetate,qc_incompatible,
dichloroacetate,qc_incompatible,
dichloroacetate,qc_incompatible,
dichlorvos,qc_incompatible,
dichlorvos,qc_incompatible,
dicloralurea,qc_incompatible,
dicloralurea,qc_incompatible,
dihydrostreptomycin,multi_fragment_structure,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](NC(N)=N)[C@H](O)[C@H]2NC(N)=N)O[C@@H](C)[C@]1(O)CO.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](NC(N)=N)[C@H](O)[C@H]2NC(N)=N)O[C@@H](C)[C@]1(O)CO
dihydroxyacetone,qc_incompatible,
dimercaprol,qc_incompatible,
dimercaprol,qc_incompatible,
dimercaptosuccinic-acid,qc_incompatible,
dimercaptosuccinic-acid,qc_incompatible,
dimercaptosuccinic-acid,qc_incompatible,
dimercaptosuccinic-acid,qc_incompatible,
dimethicone,unsupported_docking_elements:Si,C[Si](C)(C)O[Si](C)(C)C
dipeptamin,qc_incompatible,
dipeptamin,qc_incompatible,
ditiocarb-sodium-trihydrate,qc_incompatible,
ditiocarb-sodium-trihydrate,qc_incompatible,
dixanthogen,qc_incompatible,
dixanthogen,qc_incompatible,
DMPS,qc_incompatible,
DMSO,multi_fragment_structure,CS(C)=O.CS(C)=O
doconexent-ethyl-ester,qc_incompatible,
docosanol,qc_incompatible,
docosanol,qc_incompatible,
docosanol,qc_incompatible,
docosanol,qc_incompatible,
enflurane,qc_incompatible,
enflurane,qc_incompatible,
enflurane,qc_incompatible,
epomediol,invalid_smiles,"CC1(C)OC2(C)[C@@H](O)C[C@H]1C[C@@H]2O |&1:11,&2:9,&3:6,r,THB:12:11:1.3:8.6,7:6:1.3:11.10|"
