library_id,name,pert_iname,smiles,canonical_smiles,inchikey,mw,clogp,tpsa,hbd,hba,rotatable_bonds,clinical_phase,moa,indication,dedupe_key,clinical_rank,bms_inclusion_mode
LIB100_0014,metrizoic-acid,metrizoic-acid,CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,GGGDNPWHMNJRFN-UHFFFAOYSA-N,627.942,3.1397,86.71,2,3,3,Launched,radiopaque medium,contrast agent,GGGDNPWHMNJRFN-UHFFFAOYSA-N,0,
LIB100_0015,obidoxime,obidoxime,O\N=C\c1cc[n+](COC[n+]2ccc(\C=N\O)cc2)cc1,O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1,HIGRLDNHDGYWQJ-UHFFFAOYSA-P,288.307,0.5096,82.17,2,5,6,Launched,cholinesterase reactivator,poison antidote|nerve gas poisoning,HIGRLDNHDGYWQJ-UHFFFAOYSA-P,0,
LIB100_0016,omega-3-acid-esters,omega-3-acid-esters,CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,SSQPWTVBQMWLSZ-AAQCHOMXSA-N,330.512,6.4712,26.3,0,2,14,Launched,cholesterol inhibitor,,SSQPWTVBQMWLSZ-AAQCHOMXSA-N,0,
LIB100_0017,peramivir,peramivir,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,XRQDFNLINLXZLB-CKIKVBCHSA-N,328.413,-0.1394,148.53,6,4,7,Launched,neuraminidase inhibitor,influenza A virus infection,XRQDFNLINLXZLB-CKIKVBCHSA-N,0,
LIB100_0018,perfluorodecalin,perfluorodecalin,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,UWEYRJFJVCLAGH-UHFFFAOYSA-N,462.074,5.5126,0.0,0,0,0,Launched,,cosmetic,UWEYRJFJVCLAGH-UHFFFAOYSA-N,0,
LIB100_0019,pindolol,pindolol,"CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12 |&1:5,r|",CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,JZQKKSLKJUAGIC-LLVKDONJSA-N,248.326,1.9056,57.28,3,3,6,Launched,adrenergic receptor antagonist,hypertension,JZQKKSLKJUAGIC-LLVKDONJSA-N,0,
LIB100_0020,pralatrexate,pralatrexate,"Nc1nc(N)c2nc(C[C@@H](CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2n1 |a:22,&1:9|",C#CC[C@H](Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,OGSBUKJUDHAQEA-ZBFHGGJFSA-N,477.481,0.9816,207.3,5,9,10,Launched,dihydrofolate reductase inhibitor,peripheral T-cell lymphoma (PTCL),OGSBUKJUDHAQEA-ZBFHGGJFSA-N,0,
LIB100_0021,propatylnitrate,propatylnitrate,CCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,CCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],YZZCJYJBCUJISI-UHFFFAOYSA-N,269.166,0.0077,157.11,0,9,10,Launched,,angina pectoris,YZZCJYJBCUJISI-UHFFFAOYSA-N,0,
LIB100_0022,romidepsin,romidepsin,C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C |t:12|,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,OHRURASPPZQGQM-GCCNXGTGSA-N,540.708,1.4296,142.7,4,8,2,Launched,HDAC inhibitor,cutaneous T-cell lymphoma (CTCL),OHRURASPPZQGQM-GCCNXGTGSA-N,0,
LIB100_0023,saxagliptin,saxagliptin,N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)[C@]12C[C@H]3C[C@H](C[C@](O)(C3)C1)C2,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)[C@@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,QGJUIPDUBHWZPV-YQBUGCKMSA-N,315.417,1.158,90.35,2,4,2,Launched,dipeptidyl peptidase inhibitor,diabetes mellitus,QGJUIPDUBHWZPV-YQBUGCKMSA-N,0,
LIB100_0024,sulfachlorpyridazine,sulfachlorpyridazine,Nc1ccc(cc1)S(=O)(=O)Nc1ccc(Cl)nn1,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,XOXHILFPRYWFOD-UHFFFAOYSA-N,284.728,1.513,97.97,2,5,3,Launched,bacterial antifolate,urinary tract infections,XOXHILFPRYWFOD-UHFFFAOYSA-N,0,
LIB100_0025,talipexole,talipexole,Nc1nc2CCN(CC=C)CCc2s1,C=CCN1CCc2nc(N)sc2CC1,DHSSDEDRBUKTQY-UHFFFAOYSA-N,209.318,1.3119,42.15,1,4,2,Launched,adrenergic receptor agonist|dopamine receptor agonist,genitial herpes,DHSSDEDRBUKTQY-UHFFFAOYSA-N,0,
LIB100_0026,temefos,temefos,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,WWJZWCUNLNYYAU-UHFFFAOYSA-N,466.479,5.63,55.38,0,9,10,Launched,cholinesterase inhibitor,,WWJZWCUNLNYYAU-UHFFFAOYSA-N,0,
LIB100_0027,terbinafine,terbinafine,CN(C\C=C\C#CC(C)(C)C)Cc1cccc2ccccc12,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,291.438,4.8773,3.24,0,1,4,Launched,fungal squalene epoxidase inhibitor,tinea pedis|tinea cruris|tinea corporis,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,0,
LIB100_0028,thiopental,thiopental,"CCC[C@@H](C)C1(CC)C(=O)NC(=S)NC1=O |&1:3,&2:5|",CCC[C@@H](C)C1(CC)C(=O)NC(=S)NC1=O,IUJDSEJGGMCXSG-SSDOTTSWSA-N,242.344,1.3499,58.2,2,3,4,Launched,GABA receptor antagonist,anesthetic,IUJDSEJGGMCXSG-SSDOTTSWSA-N,0,
LIB100_0029,tiabendazole,tiabendazole,c1nc(cs1)-c1nc2ccccc2[nH]1,c1ccc2[nH]c(-c3cscn3)nc2c1,WJCNZQLZVWNLKY-UHFFFAOYSA-N,201.254,2.6864,41.57,1,3,1,Launched,angiogenesis inhibitor,gastrointestinal roundworms|hookworm,WJCNZQLZVWNLKY-UHFFFAOYSA-N,0,
LIB100_0030,topiramate,topiramate,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,KJADKKWYZYXHBB-XBWDGYHZSA-N,339.366,-0.3954,115.54,1,8,3,Launched,carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist,epilepsy|migraine headache,KJADKKWYZYXHBB-XBWDGYHZSA-N,0,
LIB100_0031,BMS-986205,BMS-986205,[H][C@]1(CC[C@@H](CC1)c1ccnc2ccc(F)cc12)[C@@H](C)C(=O)Nc1ccc(Cl)cc1,C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,KRTIYQIPSAGSBP-ZACQAIPSSA-N,410.92,6.5759,41.99,1,2,4,Phase 3,"indoleamine 2,3-dioxygenase inhibitor",,KRTIYQIPSAGSBP-ZACQAIPSSA-N,2,clinical_hypothesis_override
LIB100_0032,MF-101,MF-101,Oc1ccc(cc1)[C@@H]1CC(=O)c2ccc(O)cc2O1,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,FURUXTVZLHCCNA-AWEZNQCLSA-N,256.257,2.8043,66.76,2,4,1,Phase 3,estrogen receptor agonist,,FURUXTVZLHCCNA-AWEZNQCLSA-N,2,
LIB100_0033,SQ-109,SQ-109,CC(C)=CCC\C(C)=C\CNCCNC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2 |r|,CC(C)=CCC/C(C)=C/CNCCNC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,JFIBVDBTCDTBRH-UNRAVDGJSA-N,330.56,4.683,24.06,2,2,9,Phase 3,bacterial cell wall synthesis inhibitor,,JFIBVDBTCDTBRH-UNRAVDGJSA-N,2,
LIB100_0034,baloxavir,baloxavir,[H][C@@]12COCCN1C(=O)c1c(O)c(=O)ccn1N2[C@@H]1c2ccccc2SCc2c(F)c(F)ccc12,O=C1c2c(O)c(=O)ccn2N([C@@H]2c3ccccc3SCc3c2ccc(F)c3F)[C@@H]2COCCN12,FIDLLEYNNRGVFR-CTNGQTDRSA-N,483.496,2.9775,75.01,1,7,1,Phase 3,endonuclease inhibitor,,FIDLLEYNNRGVFR-CTNGQTDRSA-N,2,
LIB100_0035,dimesna,dimesna,OS(=O)(=O)CCSSCCS(O)(=O)=O,O=S(=O)(O)CCSSCCS(=O)(=O)O,BYUKOOOZTSTOOH-UHFFFAOYSA-N,282.386,0.1434,108.74,2,6,7,Phase 3,tubulin polymerization inhibitor,,BYUKOOOZTSTOOH-UHFFFAOYSA-N,2,
LIB100_0036,diminazene-aceturate,diminazene-aceturate,NC(=N)c1ccc(N\N=N\c2ccc(cc2)C(N)=N)cc1,N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1,XNYZHCFCZNMTFY-UHFFFAOYSA-N,281.323,2.3655,136.49,5,4,5,Phase 3,angiotensin converting enzyme activator,,XNYZHCFCZNMTFY-UHFFFAOYSA-N,2,
LIB100_0037,eldecalcitol,eldecalcitol,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)(C)O)[C@@]1(C)CCC\C2=C/C=C1/C[C@@H](O)[C@@H](OCCCO)[C@H](O)C1=C,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)[C@@H](OCCCO)[C@@H]1O,FZEXGDDBXLBRTD-AYIMTCTASA-N,490.725,5.0822,90.15,4,5,10,Phase 3,bone formation stimulant,,FZEXGDDBXLBRTD-AYIMTCTASA-N,2,
LIB100_0038,ganetespib,ganetespib,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3n(C)ccc3c2)c(O)cc1O,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,RVAQIUULWULRNW-UHFFFAOYSA-N,364.405,3.2539,96.07,3,6,3,Phase 3,HSP inhibitor,,RVAQIUULWULRNW-UHFFFAOYSA-N,2,
LIB100_0039,marimastat,marimastat,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,OCSMOTCMPXTDND-OUAUKWLOSA-N,331.413,-0.2081,127.76,5,5,7,Phase 3,matrix metalloprotease inhibitor,,OCSMOTCMPXTDND-OUAUKWLOSA-N,2,
LIB100_0040,oltipraz,oltipraz,Cc1c(ssc1=S)-c1cnccn1,Cc1c(-c2cnccn2)ssc1=S,CKNAQFVBEHDJQV-UHFFFAOYSA-N,226.351,3.3045,25.78,0,5,1,Phase 3,nuclear factor erythroid derived|like (NRF2) activator,,CKNAQFVBEHDJQV-UHFFFAOYSA-N,2,
LIB100_0041,relugolix,relugolix,CONC(=O)Nc1ccc(cc1)-c1sc2n(Cc3c(F)cccc3F)c(=O)n(-c3ccc(OC)nn3)c(=O)c2c1CN(C)C,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,AOMXMOCNKJTRQP-UHFFFAOYSA-N,623.642,3.7505,132.61,2,11,9,Phase 3,gonadotropin releasing factor hormone receptor antagonist,,AOMXMOCNKJTRQP-UHFFFAOYSA-N,2,
LIB100_0042,tucatinib,tucatinib,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1 |t:14|,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,SDEAXTCZPQIFQM-UHFFFAOYSA-N,480.532,5.0935,110.85,2,10,5,Phase 3,EGFR inhibitor,,SDEAXTCZPQIFQM-UHFFFAOYSA-N,2,
LIB100_0043,ADX-10059,ADX-10059,Cc1cc(C)c(N)c(n1)C#Cc1cccc(F)c1,Cc1cc(C)c(N)c(C#Cc2cccc(F)c2)n1,MEDCLNYIYBERKO-UHFFFAOYSA-N,240.281,2.8195,38.91,1,2,0,Phase 2,glutamate receptor negative allosteric modulator,,MEDCLNYIYBERKO-UHFFFAOYSA-N,3,
LIB100_0044,FK-33-824,FK-33-824,"C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)CC[S@@](C)=O |a:1,5,23,34,&1:39|",C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)CC[S@@](C)=O,HYZHONGSQNXMPH-YJRDZJJMSA-N,603.742,-0.8017,191.16,6,8,16,Phase 2,opioid receptor agonist,,HYZHONGSQNXMPH-YJRDZJJMSA-N,3,
