library_id,name,wt_affinity,mut_affinity,delta_affinity,wt_dist,mut_dist,delta_dist,ghost_clash_dist,ghost_clash,pose_center_shift,selection_reason,wt_output,mut_output,score_version,ghost_warning,ghost_penalty,mutation_composite_score,rank_mutation_aware
LIB100_0070,D609,-5.019,-4.982,0.03699999999999992,5.587333877238983,5.426429994628324,-0.16090388261065858,5.426429994628324,False,0.28887020537872976,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0070_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0070_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.2357638500370802,22
LIB100_0099,usniacin-(+),-5.533,-5.349,0.18400000000000016,3.8655386669674736,3.929175588430359,0.06363692146288535,3.929175588430359,False,0.0973997915180273,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0099_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0099_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.1827930322482452,23
LIB100_0027,terbinafine,-6.757,-7.373,-0.6160000000000005,3.6184262611598945,1.493914875112479,-2.1245113860474154,1.493914875112479,True,1.576202658368477,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0027_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0027_mut.pdbqt,mutation_composite_score_v1,severe,2.0,1.1001189316918096,24
LIB100_0015,obidoxime,-5.746,-5.499,0.24700000000000077,3.7726629681008252,3.6806327389344875,-0.09203022916633774,3.6806327389344875,False,0.08431997523162842,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0015_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0015_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.0857836704542532,25
LIB100_0032,MF-101,-7.216,-6.851,0.3650000000000002,3.6123900420563184,3.3718505932388774,-0.24053944881744105,3.3718505932388774,False,3.965584427051419,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0032_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0032_mut.pdbqt,mutation_composite_score_v1,none,0.0,1.0563699848164891,26
LIB100_0052,oleuropein,-4.982,-5.398,-0.4159999999999995,3.196515796700362,2.5421002586214243,-0.6544155380789376,2.5421002586214243,False,0.36986829029996754,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0052_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0052_mut.pdbqt,mutation_composite_score_v1,moderate,0.5,0.9482698175957902,27
LIB100_0088,bilobalide,-6.101,-5.74,0.36099999999999977,3.244010567611291,3.240747496182622,-0.0032630714286692175,3.240747496182622,False,0.086246910669302,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0088_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0088_mut.pdbqt,mutation_composite_score_v1,none,0.0,0.9290645037430515,28
LIB100_0059,ammonium-perfluorocaprylate,-6.283,-6.032,0.25100000000000033,2.7745394393692777,3.3735020061399097,0.598962566770632,3.3735020061399097,False,2.248204387055643,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0059_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0059_mut.pdbqt,mutation_composite_score_v1,none,0.0,0.8135962406391827,29
LIB100_0081,NSP-805,-7.002,-6.799,0.2029999999999994,2.3148480055078884,1.4883522271560625,-0.8264957783518259,1.4883522271560625,True,0.39032877424033735,top20_wt;prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0081_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0081_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.8016291577300816,30
LIB100_0065,"4,4'-DDT",-6.096,-6.925,-0.8289999999999997,2.5928795722801956,1.0155110480840621,-1.5773685241961335,1.0155110480840621,True,1.0418258344137532,prespecified_bms,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0065_wt.pdbqt,/Users/vihaanagrawal/Documents/nipahv-rdrp-md/Stages/Stage 3/results/library_100_paired_pdbqt/LIB100_0065_mut.pdbqt,mutation_composite_score_v1,severe,2.0,0.737845626037712,31
